idx,block,feePpm,sumSq
501,7426045349358816311,1055,333683117
502,7426045349358816311,1055,333696573
503,7426045349358816311,1055,333696742
504,7426045349358816311,1055,333716623
505,7426045349358816311,1055,333737359
506,7426045349358816311,1055,333738880
507,7426045349358816311,1055,333747344
508,7426045349358816311,1055,333747344
509,7426045349358816311,1155,333887220
510,7426045349358816311,1055,333887220
511,7426045349358816311,1055,333887220
512,7426045349358816311,1055,333887416
513,7426045349358816311,1055,333893192
514,7426045349358816311,1055,333893516
515,7426045349358816311,1055,333913116
516,7426045349358816311,1055,333913116
517,7426045349358816311,1055,333914341
518,7426045349358816311,1055,333950062
519,7426045349358816311,1055,333950183
520,7426045349358816311,1055,333954672
521,7426045349358816311,1155,334026496
522,7426045349358816311,1055,334026497
523,7426045349358816311,1455,334275498
524,7426045349358816311,1055,334287162
525,7426045349358816311,1055,334287163
526,7426045349358816311,1055,334298612
527,7426045349358816311,1055,334328888
528,7426045349358816311,1055,334348769
529,7426045349358816311,1055,334348769
530,7426045349358816311,1055,334348769
531,7426045349358816311,1055,334348769
532,7426045349358816311,1055,334348769
533,7426045349358816311,1055,334350369
534,7426045349358816311,1155,334418490
535,7426045349358816311,1055,334432414
536,7426045349358816311,1155,334489535
537,7426045349358816311,1055,334489535
538,7426045349358816311,1055,334489535
539,7426045349358816311,1055,334489535
540,7426045349358816311,1055,334489535
541,7426045349358816311,1055,334489535
542,7426045349358816311,1055,334489535
543,7426045349358816311,1055,334489535
544,7426045349358816311,1055,334494435
545,7426045349358816311,1055,334503084
546,7426045349358816311,1055,334526493
547,7426045349358816311,1055,334527393
548,7426045349358816311,1055,334538002
549,7426045349358816311,1155,334716931
550,7426045349358816311,1155,334830500
551,7426045349358816311,1155,334987316
552,7426045349358816311,1055,334987317
553,7426045349358816311,1055,335032686
554,7426045349358816311,1055,335032702
555,7426045349358816311,1055,335035303
556,7426045349358816311,1155,335144203
557,7426045349358816311,1055,335144252
558,7426045349358816311,1055,335144316
559,7426045349358816311,1155,335279740
560,7426045349358816311,1155,335395340
561,7426045349358816311,1455,335617181
562,7426045349358816311,1455,335850470
563,7426045349358816311,1455,336031095
564,7426045349358816311,1455,336235399
565,7426045349358816311,1055,336263960
566,7426045349358816311,1055,336284696
567,7426045349358816311,1055,336284697
568,7426045349358816311,1055,336284697
569,7426045349358816311,1055,336284697
570,7426045349358816311,1055,336288666
571,7426045349358816311,1155,336384766
572,7426045349358816311,1055,336407567
573,7426045349358816311,1055,336437151
574,7426045349358816311,1055,336461800
575,7426045349358816311,1055,336462284
576,7426045349358816311,1155,336589020
577,7426045349358816311,1455,336763744
578,7426045349358816311,1055,336763744
579,7426045349358816311,1055,336763744
580,7426045349358816311,1055,336763744
581,7426045349358816311,1055,336763744
582,7426045349358816311,1055,336784480
583,7426045349358816311,1155,336846481
584,7426045349358816311,1055,336851381
585,7426045349358816311,1455,337090502
586,7426045349358816311,1055,337118391
587,7426045349358816311,1055,337140891
588,7426045349358816311,1155,337190620
589,7426045349358816311,3555,338456245
590,7426045349358816311,1955,339128645
591,7426045349358816311,1055,339144521
592,7426045349358816311,13155,345201042
593,7426045349358816311,1155,345282267
594,7426045349358816311,1055,345312892
595,7426045349358816311,1055,345325213
596,7426045349358816311,3555,346719974
597,7426045349358816311,1055,346719974
598,7426045349358816311,1055,346719974
599,7426045349358816311,1055,346746218
600,7426045349358816311,1155,346872954
601,7426045349358816311,5955,349198579
602,7426045349358816311,3555,350360663
603,7426045349358816311,1155,350466939
604,7426045349358816311,1455,350664964
605,7426045349358816311,1055,350664964
606,7426045349358816311,1055,350664968
607,7426045349358816311,1055,350693529
608,7426045349358816311,1155,350735145
609,7426045349358816311,1155,350848041
610,7426045349358816311,1055,350848041
611,7426045349358816311,1455,351151642
612,7426045349358816311,1155,351257918
613,7426045349358816311,1055,351259518
614,7426045349358816311,1055,351264279
615,7426045349358816311,1955,351964848
616,7426045349358816311,1055,351966964
617,7426045349358816311,1955,352488248
618,7426045349358816311,1055,352501704
619,7426045349358816311,1055,352501729
620,7426045349358816311,1055,352501898
621,7426045349358816311,1055,352504299
622,7426045349358816311,1155,352555828
623,7426045349358816311,1055,352563749
624,7426045349358816311,1055,352569678
625,7426045349358816311,1155,352745239
626,7426045349358816311,1055,352745239
627,7426045349358816311,1055,352745239
628,7426045349358816311,1055,352747543
629,7426045349358816311,1155,352829339
630,7426045349358816311,1155,352888875
631,7426045349358816311,1055,352890244
632,7426045349358816311,1155,353051848
633,7426045349358816311,1055,353053529
634,7426045349358816311,1155,353169129
635,7426045349358816311,1055,353175213
636,7426045349358816311,1455,353434294
637,7426045349358816311,1155,353590319
638,7426045349358816311,1955,354249663
639,7426045349358816311,1055,354254287
640,7426045349358816311,1455,354489512
641,7426045349358816311,1955,355170137
642,7426045349358816311,1155,355215081
643,7426045349358816311,1055,355215081
644,7426045349358816311,1055,355219177
645,7426045349358816311,1055,355221481
646,7426045349358816311,1055,355226105
647,7426045349358816311,1055,355253330
648,7426045349358816311,1055,355276434
649,7426045349358816311,1055,355283158
650,7426045349358816311,1155,355386199
651,7426045349358816311,1055,355402583
652,7426045349358816311,1455,355642683
653,7426045349358816311,2655,356380564
654,7426045349358816311,1055,356398520
655,7426045349358816311,1055,356401329
656,7426045349358816311,1155,356488354
657,7426045349358816311,1155,356587579
658,7426045349358816311,1955,357124868
659,7426045349358816311,1455,357298757
660,7426045349358816311,1155,357402441
661,7426045349358816311,1055,357402765
662,7426045349358816311,1055,357402766
663,7426045349358816311,1155,357466270
664,7426045349358816311,1155,357596591
665,7426045349358816311,1155,357647216
666,7426045349358816311,1055,357658880
667,7426045349358816311,1055,357658880
668,7426045349358816311,1055,357687104
669,7426045349358816311,1055,357687153
670,7426045349358816311,4655,359364178
671,7426045349358816311,1155,359465939
672,7426045349358816311,1155,359587043
673,7426045349358816311,1055,359623907
674,7426045349358816311,1055,359627628
675,7426045349358816311,1055,359627628
676,7426045349358816311,1055,359627628
677,7426045349358816311,1155,359690629
678,7426045349358816311,1955,360338654
679,7426045349358816311,1055,360342375
680,7426045349358816311,1055,360342400
681,7426045349358816311,1055,360342400
682,7426045349358816311,1055,360346000
683,7426045349358816311,1055,360346001
684,7426045349358816311,1055,360346001
685,7426045349358816311,1055,360346026
686,7426045349358816311,1055,360346027
687,7426045349358816311,1055,360346652
688,7426045349358816311,1055,360346773
689,7426045349358816311,1055,360347449
690,7426045349358816311,1055,360351049
691,7426045349358816311,1055,360353858
692,7426045349358816311,1055,360385542
693,7426045349358816311,1055,360387223
694,7426045349358816311,1055,360390823
695,7426045349358816311,1055,360391264
696,7426045349358816311,1055,360424388
697,7426045349358816311,1155,360548292
698,7426045349358816311,1055,360548292
699,7426045349358816311,1055,360556756
700,7426045349358816311,1055,360556756
701,7426045349358816311,1055,360556756
702,7426045349358816311,1055,360558437
703,7426045349358816311,1055,360558437
704,7426045349358816311,1055,360558437
705,7426045349358816311,1055,360558437
706,7426045349358816311,1055,360558441
707,7426045349358816311,1155,360610425
708,7426045349358816311,1055,360610426
709,7426045349358816311,1155,360674942
710,7426045349358816311,1055,360674942
711,7426045349358816311,1155,360759042
712,7426045349358816311,1155,360857638
713,7426045349358816311,1055,360857674
714,7426045349358816311,1055,360859195
715,7426045349358816311,1055,360872420
716,7426045349358816311,1055,360900644
717,7426045349358816311,1055,360901485
718,7426045349358816311,1055,360909406
719,7426045349358816311,1055,360910927
720,7426045349358816311,1155,360972431
721,7426045349358816311,1055,360974367
722,7426045349358816311,1155,361038883
723,7426045349358816311,1055,361038883
724,7426045349358816311,1055,361038883
725,7426045349358816311,1055,361038884
726,7426045349358816311,1055,361038884
727,7426045349358816311,1055,361038884
728,7426045349358816311,1055,361038884
729,7426045349358816311,1055,361038885
730,7426045349358816311,1055,361038886
731,7426045349358816311,1055,361038886
732,7426045349358816311,1055,361038887
733,7426045349358816311,1055,361038888
734,7426045349358816311,1055,361038888
735,7426045349358816311,1055,361038888
736,7426045349358816311,1055,361038888
737,7426045349358816311,1055,361044664
738,7426045349358816311,1155,361132873
739,7426045349358816311,1055,361164914
740,7426045349358816311,1055,361172658
741,7426045349358816311,1155,361239222
742,7426045349358816311,1055,361247322
743,7426045349358816311,1155,361299306
744,7426045349358816311,1055,361305867
745,7426045349358816311,1055,361311196
746,7426045349358816311,1055,361311197
747,7426045349358816311,2655,362021846
748,7426045349358816311,1055,362021846
749,7426045349358816311,1055,362023782
750,7426045349358816311,1455,362230807
751,7426045349358816311,1055,362232176
752,7426045349358816311,1055,362256825
753,7426045349358816311,1055,362289225
754,7426045349358816311,1055,362289225
755,7426045349358816311,1055,362289225
756,7426045349358816311,1055,362289225
757,7426045349358816311,1055,362289225
758,7426045349358816311,1055,362289225
759,7426045349358816311,1055,362289225
760,7426045349358816311,1055,362290669
761,7426045349358816311,1055,362290669
762,7426045349358816311,1055,362329873
763,7426045349358816311,1055,362329873
764,7426045349358816311,1155,362428469
765,7426045349358816311,1055,362443598
766,7426045349358816311,1055,362482014
767,7426045349358816311,1055,362503918
768,7426045349358816311,1055,362503918
769,7426045349358816311,1055,362503918
770,7426045349358816311,1055,362503918
771,7426045349358816311,1055,362503918
772,7426045349358816311,1155,362565422
773,7426045349358816311,1155,362625938
774,7426045349358816311,1155,362684502
775,7426045349358816311,1455,362883418
776,7426045349358816311,1155,363008027
777,7426045349358816311,1455,363222396
778,7426045349358816311,1155,363304765
779,7426045349358816311,1055,363316429
780,7426045349358816311,1055,363324529
781,7426045349358816311,1055,363324529
782,7426045349358816311,1055,363331585
783,7426045349358816311,1055,363331585
784,7426045349358816311,1055,363353786
785,7426045349358816311,1055,363353786
786,7426045349358816311,1055,363372011
787,7426045349358816311,1055,363373380
788,7426045349358816311,1155,363424456
789,7426045349358816311,1055,363424456
790,7426045349358816311,1055,363426137
791,7426045349358816311,1055,363442266
792,7426045349358816311,1055,363442266
793,7426045349358816311,1055,363442267
794,7426045349358816311,1055,363442267
795,7426045349358816311,1055,363452267
796,7426045349358816311,1055,363453636
797,7426045349358816311,1055,363469512
798,7426045349358816311,1055,363486153
799,7426045349358816311,1055,363486829
800,7426045349358816311,1055,363496045
801,7426045349358816311,1055,363509041
802,7426045349358816311,1055,363519041
803,7426045349358816311,1055,363557457
804,7426045349358816311,1055,363558901
805,7426045349358816311,1155,363634526
806,7426045349358816311,1055,363634527
807,7426045349358816311,1455,363922896
808,7426045349358816311,1055,363932112
809,7426045349358816311,1055,363932137
810,7426045349358816311,1055,363932137
811,7426045349358816311,1055,363939193
812,7426045349358816311,1055,363963529
813,7426045349358816311,1055,363963538
814,7426045349358816311,1155,364121147
815,7426045349358816311,1055,364151423
816,7426045349358816311,1055,364161027
817,7426045349358816311,1055,364163428
818,7426045349358816311,1155,364220072
819,7426045349358816311,1055,364246968
820,7426045349358816311,1055,364246968
821,7426045349358816311,1155,364323144
822,7426045349358816311,1055,364323144
823,7426045349358816311,1055,364323144
824,7426045349358816311,1055,364323144
825,7426045349358816311,1055,364323873
826,7426045349358816311,1055,364330762
827,7426045349358816311,1055,364340762
828,7426045349358816311,1055,364374251
829,7426045349358816311,1055,364403492
830,7426045349358816311,1055,364443492
831,7426045349358816311,1055,364443492
832,7426045349358816311,1055,364453096
833,7426045349358816311,1055,364463705
834,7426045349358816311,1055,364469946
835,7426045349358816311,1055,364481610
836,7426045349358816311,1055,364491811
837,7426045349358816311,1055,364491811
838,7426045349358816311,1055,364491811
839,7426045349358816311,1055,364491811
840,7426045349358816311,1055,364491811
841,7426045349358816311,1155,364649420
842,7426045349358816311,1155,364778301
843,7426045349358816311,13155,369578782
844,7426045349358816311,1055,369585023
845,7426045349358816311,1055,369585023
846,7426045349358816311,1055,369600152
847,7426045349358816311,1055,369640956
848,7426045349358816311,1055,369646140
849,7426045349358816311,1055,369649740
850,7426045349358816311,1155,369728140
851,7426045349358816311,1055,369728464
852,7426045349358816311,1055,369735188
853,7426045349358816311,1055,369765813
854,7426045349358816311,1455,369937209
855,7426045349358816311,1055,369950205
856,7426045349358816311,1055,369952909
857,7426045349358816311,1055,369952909
858,7426045349358816311,1055,369952958
859,7426045349358816311,1055,369954183
860,7426045349358816311,1055,369954667
861,7426045349358816311,1055,369966767
862,7426045349358816311,1055,369980928
863,7426045349358816311,1055,370017028
864,7426045349358816311,1055,370043924
865,7426045349358816311,1055,370048965
866,7426045349358816311,1055,370053454
867,7426045349358816311,1055,370075655
868,7426045349358816311,1055,370076331
869,7426045349358816311,1055,370117135
870,7426045349358816311,1055,370150991
871,7426045349358816311,1055,370153107
872,7426045349358816311,1055,370159996
873,7426045349358816311,1055,370181605
874,7426045349358816311,1055,370183049
875,7426045349358816311,1055,370190274
876,7426045349358816311,1055,370208499
877,7426045349358816311,1055,370211635
878,7426045349358816311,1055,370211635
879,7426045349358816311,1055,370211635
880,7426045349358816311,1055,370211635
881,7426045349358816311,1055,370211635
882,7426045349358816311,1055,370211635
883,7426045349358816311,1055,370211635
884,7426045349358816311,1055,370211635
885,7426045349358816311,1155,370337660
886,7426045349358816311,1455,370535685
887,7426045349358816311,1055,370549846
888,7426045349358816311,1055,370552655
889,7426045349358816311,1155,370607880
890,7426045349358816311,1155,370703980
891,7426045349358816311,1155,370852205
892,7426045349358816311,1155,370907901
893,7426045349358816311,1455,371233942
894,7426045349358816311,1055,371233991
895,7426045349358816311,1055,371233991
896,7426045349358816311,1055,371236800
897,7426045349358816311,1055,371255844
898,7426045349358816311,1055,371255844
899,7426045349358816311,1055,371255844
900,7426045349358816311,1055,371256100
901,7426045349358816311,1055,371256101
902,7426045349358816311,1055,371256101
903,7426045349358816311,1055,371256101
904,7426045349358816311,1055,371256101
905,7426045349358816311,1055,371256102
906,7426045349358816311,1055,371294518
907,7426045349358816311,1055,371298239
908,7426045349358816311,1055,371298239
909,7426045349358816311,1055,371298255
910,7426045349358816311,1055,371298259
911,7426045349358816311,1055,371321363
912,7426045349358816311,1055,371331363
913,7426045349358816311,1055,371331363
914,7426045349358816311,1055,371367844
915,7426045349358816311,1055,371367845
916,7426045349358816311,1055,371367846
917,7426045349358816311,1155,371441830
918,7426045349358816311,1055,371441831
919,7426045349358816311,1055,371444856
920,7426045349358816311,1055,371466760
921,7426045349358816311,1055,371510860
922,7426045349358816311,1055,371512304
923,7426045349358816311,1055,371512304
924,7426045349358816311,1055,371541888
925,7426045349358816311,1155,371588113
926,7426045349358816311,1055,371591138
927,7426045349358816311,1955,372118214
928,7426045349358816311,1055,372146103
929,7426045349358816311,1055,372161728
930,7426045349358816311,1055,372179953
931,7426045349358816311,1055,372183797
932,7426045349358816311,1155,372242846
933,7426045349358816311,1155,372292575
934,7426045349358816311,1155,372357600
935,7426045349358816311,1055,372369481
936,7426045349358816311,1155,372492682
937,7426045349358816311,1455,372730826
938,7426045349358816311,1055,372731667
939,7426045349358816311,1155,372812892
940,7426045349358816311,1155,372872917
941,7426045349358816311,1055,372876398
942,7426045349358816311,1055,372888498
943,7426045349358816311,1155,372952507
944,7426045349358816311,1055,372979076
945,7426045349358816311,1455,373207560
946,7426045349358816311,1155,373342984
947,7426045349358816311,1055,373344353
948,7426045349358816311,1055,373371909
949,7426045349358816311,1155,373433413
950,7426045349358816311,1055,373433413
951,7426045349358816311,1055,373433413
952,7426045349358816311,1155,373524617
953,7426045349358816311,1055,373524617
954,7426045349358816311,1055,373524621
955,7426045349358816311,1055,373524621
956,7426045349358816311,1055,373559590
957,7426045349358816311,1055,373561991
958,7426045349358816311,1055,373563080
959,7426045349358816311,1055,373563105
960,7426045349358816311,1055,373586821
961,7426045349358816311,1055,373592750
962,7426045349358816311,1155,373706319
963,7426045349358816311,1055,373708255
964,7426045349358816311,1055,373718659
965,7426045349358816311,1055,373719059
966,7426045349358816311,1155,373820183
967,7426045349358816311,1055,373820183
968,7426045349358816311,1055,373827752
969,7426045349358816311,1055,373829961
970,7426045349358816311,1055,373838242
971,7426045349358816311,1055,373838251
972,7426045349358816311,1055,373838927
973,7426045349358816311,1055,373838927
974,7426045349358816311,1055,373838928
975,7426045349358816311,1055,373838928
976,7426045349358816311,1055,373838929
977,7426045349358816311,1055,373838929
978,7426045349358816311,1055,373838929
979,7426045349358816311,1055,373838929
980,7426045349358816311,1055,373838929
981,7426045349358816311,1055,373838929
982,7426045349358816311,1055,373838929
983,7426045349358816311,1055,373838929
984,7426045349358816311,1055,373838930
985,7426045349358816311,1055,373838930
986,7426045349358816311,1055,373838930
987,7426045349358816311,1055,373838930
988,7426045349358816311,1155,373902939
989,7426045349358816311,1155,373959583
990,7426045349358816311,1155,374003264
991,7426045349358816311,1055,374013065
992,7426045349358816311,1955,374447346
993,7426045349358816311,1155,374520787
994,7426045349358816311,1055,374520787
995,7426045349358816311,1155,374567443
996,7426045349358816311,1055,374577644
997,7426045349358816311,1455,374808044
998,7426045349358816311,1155,374939088
999,7426045349358816311,1055,374939089
